10hi,05hi,02hi,max,10lo,05lo,02lo,min
88,152,256,475,0,0,0,0
89,154,254,475,0,0,0,0
91,156,254,475,0,0,0,0
93,160,257,475,0,0,0,0
96,164,263,396,0,0,0,0
99,170,271,396,0,0,0,0
103,175,282,559,0,0,0,0
108,181,294,559,0,0,0,0
113,187,305,559,0,0,0,0
119,193,315,559,0,0,0,0
125,198,324,559,0,0,0,0
130,203,331,559,0,0,0,0
134,207,337,599,0,0,0,0
137,209,341,620,0,0,0,0
139,211,344,620,0,0,0,0
139,211,344,620,0,0,0,0
137,210,344,620,0,0,0,0
134,209,341,620,0,0,0,0
130,206,337,620,0,0,0,0
126,202,332,620,0,0,0,0
121,197,325,620,0,0,0,0
115,192,317,620,0,0,0,0
110,186,309,620,0,0,0,0
105,180,301,620,0,0,0,0
101,174,293,620,0,0,0,0
97,169,286,620,0,0,0,0
94,164,280,620,0,0,0,0
92,160,275,620,0,0,0,0
91,158,273,513,0,0,0,0
90,157,271,513,0,0,0,0
90,157,271,513,0,0,0,0
91,158,273,513,0,0,0,0
91,159,276,513,0,0,0,0
92,161,278,513,0,0,0,0
93,162,281,513,0,0,0,0
95,164,283,513,0,0,0,0
97,165,285,513,0,0,0,0
99,166,286,363,0,0,0,0
100,167,285,363,0,0,0,0
102,167,282,363,0,0,0,0
103,167,279,363,0,0,0,0
104,167,274,363,0,0,0,0
103,166,268,363,0,0,0,0
102,164,261,361,0,0,0,0
100,162,253,361,0,0,0,0
97,160,246,361,0,0,0,0
94,157,237,361,0,0,0,0
91,154,229,361,0,0,0,0
89,151,221,361,0,0,0,0
86,148,213,335,0,0,0,0
84,145,207,335,0,0,0,0
82,142,201,335,0,0,0,0
80,140,196,335,0,0,0,0
78,139,193,335,0,0,0,0
77,137,190,335,0,0,0,0
76,136,189,335,0,0,0,0
74,135,188,284,0,0,0,0
73,134,188,284,0,0,0,0
72,134,188,284,0,0,0,0
72,133,188,439,0,0,0,0
72,132,189,439,0,0,0,0
72,131,192,439,0,0,0,0
72,131,195,439,0,0,0,0
73,130,199,439,0,0,0,0
73,130,204,439,0,0,0,0
74,131,210,439,0,0,0,0
74,131,216,439,0,0,0,0
74,131,222,439,0,0,0,0
73,131,226,439,0,0,0,0
72,131,230,439,0,0,0,0
72,131,232,439,0,0,0,0
71,131,234,439,0,0,0,0
70,131,235,439,0,0,0,0
70,132,236,439,0,0,0,0
69,133,236,335,0,0,0,0
69,133,237,335,0,0,0,0
68,134,237,335,0,0,0,0
66,134,236,335,0,0,0,0
64,133,236,378,0,0,0,0
62,132,235,378,0,0,0,0
59,131,234,378,0,0,0,0
56,129,233,378,0,0,0,0
53,127,232,378,0,0,0,0
51,126,232,516,0,0,0,0
49,125,233,516,0,0,0,0
48,124,234,516,0,0,0,0
47,124,235,516,0,0,0,0
47,123,235,516,0,0,0,0
47,123,235,516,0,0,0,0
47,122,234,516,0,0,0,0
48,121,232,516,0,0,0,0
48,120,229,516,0,0,0,0
48,118,225,516,0,0,0,0
47,116,220,516,0,0,0,0
47,113,214,516,0,0,0,0
46,110,207,516,0,0,0,0
45,106,199,516,0,0,0,0
44,102,190,516,0,0,0,0
43,98,180,292,0,0,0,0
41,94,170,279,0,0,0,0
40,90,159,279,0,0,0,0
38,86,147,279,0,0,0,0
35,82,136,279,0,0,0,0
33,79,126,272,0,0,0,0
31,76,118,272,0,0,0,0
29,74,112,272,0,0,0,0
27,72,108,272,0,0,0,0
26,71,106,300,0,0,0,0
24,70,105,300,0,0,0,0
23,69,105,300,0,0,0,0
23,68,106,300,0,0,0,0
22,67,107,300,0,0,0,0
21,66,107,300,0,0,0,0
20,64,108,300,0,0,0,0
18,61,108,300,0,0,0,0
17,58,108,300,0,0,0,0
15,55,108,300,0,0,0,0
14,52,107,300,0,0,0,0
13,49,106,300,0,0,0,0
12,45,104,300,0,0,0,0
11,42,101,300,0,0,0,0
10,38,98,300,0,0,0,0
9,35,94,295,0,0,0,0
8,32,89,295,0,0,0,0
7,29,83,218,0,0,0,0
6,27,77,150,0,0,0,0
5,24,72,150,0,0,0,0
4,23,67,140,0,0,0,0
3,21,63,140,0,0,0,0
2,20,59,140,0,0,0,0
1,19,57,358,0,0,0,0
1,17,55,358,0,0,0,0
0,16,54,358,0,0,0,0
0,14,53,358,0,0,0,0
0,13,52,358,0,0,0,0
0,11,50,358,0,0,0,0
0,9,48,358,0,0,0,0
0,7,46,358,0,0,0,0
0,6,44,358,0,0,0,0
0,5,41,358,0,0,0,0
0,4,40,358,0,0,0,0
