10hi,05hi,02hi,max,10lo,05lo,02lo,min
99,111,122,139,8,-1,-14,-39
100,111,122,139,8,-2,-14,-39
100,111,122,139,8,-3,-15,-39
101,111,122,139,7,-3,-16,-39
101,112,123,150,7,-4,-16,-39
102,112,123,150,7,-5,-16,-39
103,113,124,150,7,-5,-16,-39
103,114,125,150,8,-5,-16,-39
104,115,126,150,8,-5,-15,-39
105,116,126,150,9,-4,-14,-39
105,116,127,150,10,-3,-13,-39
106,117,128,150,11,-3,-11,-39
106,117,128,150,12,-2,-10,-33
106,117,128,150,13,-1,-9,-33
105,117,129,150,14,-1,-8,-33
105,117,129,150,15,0,-7,-33
104,116,129,150,16,1,-7,-33
103,115,128,150,16,1,-6,-33
103,114,128,150,17,2,-6,-33
102,114,128,150,17,2,-6,-33
101,113,128,144,17,3,-6,-17
101,112,128,144,17,3,-6,-17
100,112,128,144,17,3,-6,-17
100,111,128,144,17,3,-6,-17
100,111,128,144,17,3,-6,-22
100,111,128,144,18,3,-6,-22
100,111,128,144,18,3,-6,-22
101,112,128,144,19,4,-6,-22
101,113,128,144,19,4,-6,-22
102,114,128,133,20,5,-5,-22
103,115,128,133,20,6,-5,-22
103,116,128,133,21,7,-5,-22
104,118,128,133,22,8,-5,-22
105,119,128,133,22,9,-4,-22
105,120,128,133,23,10,-4,-22
106,120,128,133,24,11,-3,-22
106,120,128,133,25,13,-2,-22
106,121,128,133,26,14,-1,-22
107,121,128,133,27,15,0,-22
107,121,129,139,28,17,1,-22
108,121,129,150,29,18,3,-22
108,121,130,150,30,19,4,-22
109,122,130,156,31,20,5,-22
110,122,131,156,32,21,7,-22
110,123,132,156,33,22,8,-22
111,123,132,156,33,22,9,-22
112,124,133,156,34,23,9,-22
113,125,134,156,35,23,10,-22
114,125,135,156,36,24,10,-22
115,126,136,156,36,25,11,-22
116,127,136,156,37,25,11,-22
117,127,137,156,38,26,11,-22
118,128,137,156,38,26,11,-11
119,128,137,156,38,26,11,-11
119,128,137,156,38,26,11,-11
119,128,136,156,38,26,11,-11
118,128,136,156,37,25,12,-6
118,128,135,150,37,25,12,-6
118,128,134,172,37,24,12,-6
117,128,134,172,36,24,12,-6
117,128,133,172,36,23,13,-6
117,128,133,172,36,23,13,-6
116,127,133,172,36,23,14,-6
116,127,133,172,36,24,14,-6
116,127,133,172,36,24,14,-6
115,126,133,172,36,24,15,0
115,125,133,172,36,25,16,0
114,125,133,172,36,26,17,0
114,125,133,172,37,27,17,0
114,125,133,172,38,27,18,6
114,125,133,172,38,28,19,6
114,124,133,172,39,29,20,6
115,125,133,172,40,30,21,6
115,125,133,156,41,31,22,6
116,125,133,156,43,32,23,6
116,126,133,156,44,33,24,6
116,126,133,156,45,34,25,11
117,127,133,156,46,35,26,11
117,127,133,156,47,37,28,11
117,127,133,156,49,38,29,17
117,127,133,161,50,39,30,17
117,127,133,161,51,40,31,17
117,127,133,161,52,41,32,17
117,127,133,161,53,42,33,17
117,127,133,161,54,43,34,17
117,127,133,161,55,44,35,17
117,127,133,161,55,45,36,17
117,127,133,161,56,46,36,28
117,128,133,161,56,47,37,28
117,128,133,161,57,48,38,28
117,128,133,161,57,49,38,28
117,128,133,161,58,49,39,28
118,128,133,161,58,50,39,28
118,128,133,161,59,50,39,28
119,128,133,161,59,50,39,28
119,128,133,156,60,50,39,28
120,128,133,150,60,51,39,28
120,128,133,139,61,51,39,28
120,128,133,139,61,52,40,28
120,128,133,139,61,53,40,28
120,128,133,139,61,53,41,28
120,128,133,139,61,54,41,28
119,128,133,150,61,55,42,33
119,128,133,150,61,55,42,33
119,128,133,150,62,56,43,33
118,128,134,161,62,56,44,33
118,128,134,161,63,56,44,33
118,128,135,161,64,56,45,33
118,128,136,161,64,56,45,33
118,128,136,161,65,56,46,17
118,128,137,161,66,57,47,17
119,128,138,161,66,57,47,17
119,128,138,161,67,58,48,17
119,128,139,161,67,58,49,17
119,129,139,161,68,59,49,17
120,129,139,161,68,59,50,17
120,130,139,161,69,60,50,17
121,130,139,161,69,61,50,17
121,131,139,161,70,61,50,17
122,131,139,161,71,62,50,17
122,132,139,161,72,62,50,17
123,132,139,161,73,63,51,17
123,132,139,161,74,64,51,17
124,132,140,161,75,64,52,17
125,132,140,161,76,65,53,39
125,132,141,161,77,66,54,39
126,132,141,161,78,67,55,39
127,133,142,161,79,68,56,39
127,133,142,161,80,69,57,39
128,133,143,161,81,70,58,39
128,133,143,161,83,71,60,39
128,133,144,161,84,72,62,50
128,134,144,161,85,74,63,50
128,134,144,156,86,75,64,50
129,135,144,156,87,77,66,56
129,136,144,156,88,78,67,56
130,137,144,156,88,79,67,56
130,138,145,156,89,80,68,56
131,139,145,156,89,81,69,56
131,140,146,161,89,82,70,56
132,141,147,161,89,83,71,56
133,142,147,161,90,83,72,56
133,142,148,161,90,84,73,61
134,143,149,161,91,84,75,61
134,143,150,161,91,85,76,61
135,144,151,161,92,86,77,67
136,144,152,189,93,86,79,67
136,144,153,189,94,87,80,67
137,144,153,189,95,88,81,67
138,144,154,189,97,89,82,67
138,144,155,189,98,89,82,61
139,144,155,189,99,90,83,61
139,144,156,189,100,91,84,61
139,144,156,189,101,92,85,61
139,144,156,189,102,93,86,61
139,145,156,189,103,94,86,61
139,145,156,189,104,96,87,61
139,146,156,189,105,97,88,61
140,147,156,189,105,98,88,61
140,147,156,189,106,99,89,61
141,148,156,189,106,99,89,61
141,149,156,183,106,100,90,61
142,149,156,183,107,100,91,61
142,150,156,183,107,100,91,61
143,150,156,183,108,100,92,61
143,150,157,183,108,100,92,78
144,150,157,183,109,100,93,78
144,151,157,183,109,100,93,78
144,151,157,183,110,100,94,78
144,151,157,183,110,101,94,78
144,152,157,183,111,101,94,78
144,152,157,183,111,102,94,78
144,152,157,183,111,103,94,83
144,152,157,172,111,103,94,83
144,152,157,172,111,104,94,83
144,152,157,172,111,105,94,83
144,151,157,172,111,105,94,83
144,151,157,172,111,106,94,83
144,150,157,172,111,106,94,83
144,150,156,172,111,106,94,83
144,150,156,172,111,106,95,83
144,150,156,172,112,107,95,83
144,150,157,194,112,107,96,83
144,150,157,194,113,108,97,83
144,150,158,194,114,108,98,89
145,151,159,194,114,109,99,89
145,151,160,194,115,109,101,89
146,152,161,194,116,110,102,89
147,153,163,194,116,111,103,89
147,153,164,194,117,111,104,89
148,154,165,194,117,112,105,89
149,155,166,194,118,113,106,89
149,155,166,194,118,114,107,89
150,156,166,194,119,114,108,89
150,156,165,194,119,115,109,94
150,156,164,194,120,116,109,94
150,156,164,194,120,116,110,94
150,156,163,183,121,117,110,94
150,156,162,183,121,117,111,94
150,156,162,183,122,117,111,94
150,156,161,183,122,117,111,94
150,156,161,183,122,117,111,94
150,156,161,183,122,117,111,94
150,156,161,178,122,117,111,94
150,156,161,178,122,117,111,94
151,156,161,178,122,117,111,100
151,156,161,178,122,117,111,100
151,156,161,178,122,117,111,94
152,156,161,178,122,117,111,94
153,156,162,178,122,117,111,94
153,157,162,178,122,117,111,94
154,157,162,183,122,117,111,94
155,157,163,183,122,117,111,94
155,158,163,183,122,117,111,94
155,158,163,183,122,117,111,94
156,158,163,183,122,117,111,94
156,158,163,183,122,117,111,94
156,158,163,183,122,117,110,94
156,158,163,183,122,117,110,94
156,158,163,183,122,117,109,94
156,158,163,183,121,117,109,94
156,158,163,183,121,117,108,94
156,158,164,183,120,117,108,94
156,158,164,183,120,116,107,94
156,159,165,183,119,116,107,94
156,159,166,183,119,115,106,94
156,160,166,172,118,114,106,89
156,161,167,172,118,114,106,89
156,161,167,178,118,113,106,89
156,162,168,178,118,112,106,89
156,162,168,178,118,112,106,89
157,163,169,178,118,111,106,89
157,164,169,178,118,111,106,89
158,164,170,178,119,111,106,89
158,165,170,178,119,111,106,89
159,166,171,178,120,111,106,89
159,166,171,178,120,111,106,89
160,167,172,189,121,111,106,89
160,167,172,189,121,111,106,89
161,167,172,189,122,112,106,89
161,167,172,189,122,112,106,89
161,167,172,189,122,112,106,89
161,167,172,189,122,112,106,89
161,167,172,189,122,112,106,89
161,167,172,189,122,112,106,89
161,167,172,189,121,112,106,89
161,167,172,189,121,112,106,89
161,167,172,189,120,112,106,89
161,167,172,189,120,112,106,89
161,167,173,194,119,111,106,89
161,167,173,194,119,111,105,83
161,167,174,194,118,111,105,83
161,167,175,194,117,110,104,83
161,167,175,194,117,110,103,83
161,167,176,200,116,109,103,83
161,167,177,200,116,109,102,83
161,167,177,200,115,108,101,83
161,167,178,200,114,108,100,83
161,167,178,200,114,107,100,83
161,167,178,200,113,106,99,83
161,167,177,200,112,106,98,83
161,167,177,200,111,105,97,67
161,167,176,200,111,105,96,67
161,167,175,200,110,104,94,67
160,167,175,200,109,103,93,67
160,166,174,200,109,102,91,50
159,166,173,200,108,101,90,50
159,165,173,200,107,99,88,50
158,164,172,200,106,98,86,50
158,164,172,200,105,96,85,50
157,163,171,194,104,94,83,50
157,162,170,183,103,93,81,50
156,162,170,183,102,92,80,50
156,161,169,183,101,91,79,50
156,161,169,183,100,90,79,50
156,161,168,183,99,89,78,50
156,161,167,183,98,89,78,50
156,161,167,183,97,88,78,50
155,161,166,172,96,87,78,50
155,160,166,172,95,86,78,50
154,160,165,178,94,86,78,56
153,159,164,178,93,85,77,61
152,159,164,178,92,84,77,61
151,158,163,178,91,83,75,33
150,158,162,178,90,82,74,33
150,157,162,178,89,81,72,22
149,156,161,178,88,80,70,22
