GHCNstationID,TMAX,WWhi,WWlo,TMIN,WWhi,WWlo,PRCP,WWhi,WWlo
AG000060390,31,0,0,19,0,0,0,0,0
AG000060590,44,0,0,29,1,0,0,0,0
AG000060611,42,0,0,26,1,0,0,0,0
AG000060680,36,0,0,23,0,0,0,0,0
AJ000037735,32,0,0,20,0,0,0,0,0
ASN00002012,31,1,0,19,3,0,0,0,0
ASN00003003,32,1,0,23,4,0,0,0,0
ASN00003030,32,0,0,23,4,0,0,0,0
ASN00004032,30,1,0,19,3,0,0,0,0
ASN00004035,28,0,0,23,4,0,0,0,0
ASN00005008,28,0,0,19,3,0,0,0,0
ASN00006011,23,0,0,14,0,0,0,0,0
ASN00007045,22,0,0,12,1,0,0,0,0
ASN00008025,20,0,0,10,0,0,0,0,0
ASN00008051,22,0,0,9,0,0,0,0,0
ASN00008095,22,1,0,8,0,0,0,0,0
ASN00008138,19,0,0,9,0,0,0,0,0
ASN00009021,21,1,0,12,1,0,0.3,0,0
ASN00009500,18,0,0,13,3,0,1.8,0,0
ASN00009518,19,2,0,16,3,0,17,1,0
ASN00009519,20,3,0,15,3,0,26.7,2,0
ASN00009534,17,0,0,14,3,0,15.5,0,0
ASN00009538,21,3,0,12,3,0,0.3,0,0
ASN00009573,16,0,0,14,4,0,10.2,0,0
ASN00009581,17,0,0,13,4,0,0.8,0,0
ASN00009592,17,0,0,14,4,0,9.9,0,0
ASN00010007,19,0,0,9,0,0,0,0,0
ASN00010073,18,0,0,9,0,0,0,0,0
ASN00010111,19,0,0,7,0,0,0,0,0
ASN00010536,20,2,0,8,0,0,0,0,0
ASN00010614,18,2,0,9,1,0,0.3,0,0
ASN00012038,20,0,0,9,0,0,0,0,0
ASN00012046,20,0,0,10,0,0,0,0,0
ASN00012052,18,0,0,10,1,0,0,0,0
ASN00012071,18,0,0,8,0,0,0,0,0
ASN00013012,22,0,0,11,0,0,0,0,0
ASN00013017,24,0,0,11,0,0,0,0,0
ASN00014015,32,0,0,21,0,0,0,0,0
ASN00014626,30,0,0,15,0,0,0,0,0
ASN00015590,26,1,0,14,3,0,0,0,0
ASN00016001,20,1,0,11,3,0,0,0,0
ASN00017031,22,0,0,13,3,0,10.2,3,0
ASN00017043,23,0,0,11,1,0,0.8,1,0
ASN00018012,18,0,0,9,0,0,0.8,0,0
ASN00018044,18,0,0,10,2,0,0.5,0,0
ASN00018079,18,0,0,12,2,0,1.5,0,0
ASN00018110,19,0,0,11,2,0,0,0,0
ASN00019062,16,0,0,7,1,0,0,0,0
ASN00022008,17,1,0,11,3,0,0,0,0
ASN00023013,17,0,0,11,3,0,0,0,0
ASN00023034,19,2,0,11,2,0,0,0,0
ASN00023733,13,0,0,9,2,0,0,0,0
ASN00023747,16,0,0,7,0,0,0,0,0
ASN00025509,17,0,0,9,2,0,0,0,0
ASN00026021,17,3,0,13,4,0,1,0,0
ASN00026026,16,2,0,14,3,0,3.8,0,0
ASN00028004,27,0,1,15,0,0,0,0,0
ASN00029004,27,0,0,19,2,0,0,0,0
ASN00030045,28,0,0,14,1,0,0,0,0
ASN00031011,27,0,0,19,0,0,1.8,0,0
ASN00031029,24,0,0,13,0,0,0,0,0
ASN00032004,23,0,0,17,0,0,2,1,0
ASN00032040,25,0,0,17,0,0,0.8,1,0
ASN00033002,26,0,0,17,1,0,0.8,1,0
ASN00033119,22,0,0,19,3,0,1.3,0,0
ASN00035069,24,0,0,10,0,0,0,0,0
ASN00035070,23,0,0,10,0,0,0,0,0
ASN00036143,22,0,0,12,0,0,0,0,0
ASN00037010,29,0,0,17,3,0,0,0,0
ASN00038003,28,1,0,16,3,0,0,0,0
ASN00039059,21,0,0,19,1,0,2.5,0,0
ASN00039083,22,0,0,14,0,0,0.5,0,0
ASN00039085,21,0,0,19,3,0,2,0,0
ASN00039123,26,2,0,16,1,0,0.3,0,0
ASN00040004,20,0,0,10,0,0,0,0,0
ASN00040043,20,0,0,13,0,0,0.5,0,0
ASN00040068,20,0,0,16,0,0,0.8,0,0
ASN00040126,20,0,0,14,1,0,0.3,0,0
ASN00040190,22,0,0,14,1,0,0,0,0
ASN00041095,16,0,0,5,0,0,0,0,0
ASN00044010,23,1,0,11,1,0,0,0,0
ASN00044021,24,1,0,11,0,0,0,0,0
ASN00044026,23,1,0,13,2,0,0,0,0
ASN00045015,26,2,0,13,2,0,0,0,0
ASN00046037,25,3,0,15,3,0,2.3,2,0
ASN00051039,18,0,0,11,3,0,2.8,1,0
